# theta[deg]  MoM_theta[dBsm]  Mie_theta[dBsm]  MoM_phi[dBsm]  Mie_phi[dBsm]
0.0000 15.2203 15.3044 -59.2544 -200.0000
1.0000 15.2160 15.3000 -59.0903 -200.0000
2.0000 15.2031 15.2870 -58.9400 -200.0000
3.0000 15.1816 15.2652 -58.8043 -200.0000
4.0000 15.1516 15.2349 -58.6802 -200.0000
5.0000 15.1131 15.1961 -58.5695 -200.0000
6.0000 15.0663 15.1489 -58.4696 -200.0000
7.0000 15.0114 15.0935 -58.3812 -200.0000
8.0000 14.9486 15.0302 -58.3033 -200.0000
9.0000 14.8781 14.9592 -58.2353 -200.0000
10.0000 14.8002 14.8807 -58.1758 -200.0000
11.0000 14.7152 14.7950 -58.1261 -200.0000
12.0000 14.6235 14.7027 -58.0851 -200.0000
13.0000 14.5255 14.6040 -58.0512 -200.0000
14.0000 14.4216 14.4994 -58.0252 -200.0000
15.0000 14.3124 14.3895 -58.0072 -200.0000
16.0000 14.1984 14.2749 -57.9962 -200.0000
17.0000 14.0803 14.1561 -57.9918 -200.0000
18.0000 13.9587 14.0338 -57.9939 -200.0000
19.0000 13.8343 13.9087 -58.0033 -200.0000
20.0000 13.7079 13.7817 -58.0182 -200.0000
21.0000 13.5802 13.6536 -58.0395 -200.0000
22.0000 13.4523 13.5251 -58.0681 -200.0000
23.0000 13.3247 13.3972 -58.1014 -200.0000
24.0000 13.1986 13.2708 -58.1408 -200.0000
25.0000 13.0747 13.1467 -58.1871 -200.0000
26.0000 12.9540 13.0258 -58.2398 -200.0000
27.0000 12.8371 12.9089 -58.2976 -200.0000
28.0000 12.7250 12.7968 -58.3631 -200.0000
29.0000 12.6182 12.6902 -58.4343 -200.0000
30.0000 12.5174 12.5896 -58.5127 -200.0000
31.0000 12.4231 12.4956 -58.5975 -200.0000
32.0000 12.3355 12.4084 -58.6887 -200.0000
33.0000 12.2550 12.3282 -58.7878 -200.0000
34.0000 12.1815 12.2551 -58.8929 -200.0000
35.0000 12.1150 12.1890 -59.0070 -200.0000
36.0000 12.0552 12.1295 -59.1269 -200.0000
37.0000 12.0016 12.0762 -59.2547 -200.0000
38.0000 11.9539 12.0287 -59.3898 -200.0000
39.0000 11.9112 11.9861 -59.5311 -200.0000
40.0000 11.8729 11.9477 -59.6806 -200.0000
41.0000 11.8381 11.9127 -59.8362 -200.0000
42.0000 11.8060 11.8801 -59.9969 -200.0000
43.0000 11.7754 11.8489 -60.1631 -200.0000
44.0000 11.7456 11.8182 -60.3335 -200.0000
45.0000 11.7154 11.7869 -60.5076 -200.0000
46.0000 11.6839 11.7541 -60.6802 -200.0000
47.0000 11.6501 11.7187 -60.8545 -200.0000
48.0000 11.6131 11.6799 -61.0239 -200.0000
49.0000 11.5720 11.6367 -61.1880 -200.0000
50.0000 11.5258 11.5881 -61.3418 -200.0000
51.0000 11.4738 11.5335 -61.4823 -200.0000
52.0000 11.4151 11.4719 -61.6046 -200.0000
53.0000 11.3490 11.4026 -61.7058 -200.0000
54.0000 11.2748 11.3248 -61.7820 -200.0000
55.0000 11.1917 11.2379 -61.8277 -200.0000
56.0000 11.0990 11.1412 -61.8396 -200.0000
57.0000 10.9962 11.0340 -61.8157 -200.0000
58.0000 10.8827 10.9157 -61.7538 -200.0000
59.0000 10.7577 10.7857 -61.6516 -200.0000
60.0000 10.6208 10.6433 -61.5129 -200.0000
61.0000 10.4713 10.4881 -61.3371 -200.0000
62.0000 10.3086 10.3193 -61.1285 -200.0000
63.0000 10.1323 10.1364 -60.8882 -200.0000
64.0000 9.9416 9.9388 -60.6232 -200.0000
65.0000 9.7360 9.7258 -60.3364 -200.0000
66.0000 9.5148 9.4968 -60.0325 -200.0000
67.0000 9.2774 9.2510 -59.7144 -200.0000
68.0000 9.0232 8.9879 -59.3852 -200.0000
69.0000 8.7513 8.7066 -59.0509 -200.0000
70.0000 8.4612 8.4064 -58.7123 -200.0000
71.0000 8.1520 8.0865 -58.3724 -200.0000
72.0000 7.8230 7.7460 -58.0328 -200.0000
