# 金属球双站 RCS 对比
# 条件：PEC 球 a=1.0 m, lambda=2.094395 m, k=3.0000 rad/m, ka=3.0000
# 入射：+z 方向，x 极化，观察面 phi=0 (xz-plane)
# theta[deg]  RCS_QBX[dBsm]  RCS_Extraction[dBsm]  RCS_Mie[dBsm]
    0.0000        15.257683        15.219006        15.304396
    1.0000        15.253393        15.214762        15.300033
    2.0000        15.240438        15.201865        15.286958
    3.0000        15.218849        15.180354        15.265216
    4.0000        15.188722        15.150317        15.234881
    5.0000        15.150131        15.111856        15.196058
    6.0000        15.103225        15.065084        15.148885
    7.0000        15.048191        15.010178        15.093533
    8.0000        14.985216        14.947368        15.030208
    9.0000        14.914540        14.876879        14.959156
   10.0000        14.836445        14.798966        14.880659
   11.0000        14.751263        14.713972        14.795045
   12.0000        14.659371        14.622269        14.702684
   13.0000        14.561131        14.524263        14.603993
   14.0000        14.457059        14.420403        14.499442
   15.0000        14.347637        14.311227        14.389546
   16.0000        14.233433        14.197248        14.274879
   17.0000        14.115067        14.079126        14.156063
   18.0000        13.993216        13.957512        14.033774
   19.0000        13.868578        13.833118        13.908741
   20.0000        13.741926        13.706704        13.781736
   21.0000        13.614058        13.579087        13.653576
   22.0000        13.485822        13.451092        13.525110
   23.0000        13.358086        13.323605        13.397213
   24.0000        13.231720        13.197483        13.270770
   25.0000        13.107585        13.073597        13.146665
   26.0000        12.986580        12.952837        13.025761
   27.0000        12.869477        12.835997        12.908879
   28.0000        12.757068        12.723843        12.796786
   29.0000        12.650034        12.617075        12.690164
   30.0000        12.548964        12.516288        12.589598
   31.0000        12.454315        12.421944        12.495553
   32.0000        12.366455        12.334408        12.408361
   33.0000        12.285568        12.253872        12.328207
   34.0000        12.211704        12.180394        12.255120
   35.0000        12.144752        12.113880        12.188976
   36.0000        12.084464        12.054060        12.129493
   37.0000        12.030428        12.000551        12.076246
   38.0000        11.982100        11.952806        12.028670
   39.0000        11.938830        11.910173        11.986086
   40.0000        11.899844        11.871892        11.947710
   41.0000        11.864296        11.837118        11.912676
   42.0000        11.831278        11.804954        11.880058
   43.0000        11.799842        11.774445        11.848885
   44.0000        11.769011        11.744594        11.818163
   45.0000        11.737775        11.714437        11.786891
   46.0000        11.705159        11.682973        11.754071
   47.0000        11.670197        11.649238        11.718723
   48.0000        11.631932        11.612273        11.679894
   49.0000        11.589445        11.571178        11.636662
   50.0000        11.541873        11.525080        11.588141
   51.0000        11.488353        11.473111        11.533485
   52.0000        11.428078        11.414488        11.471885
   53.0000        11.360302        11.348433        11.402573
   54.0000        11.284285        11.274234        11.324813
   55.0000        11.199324        11.191183        11.237904
   56.0000        11.104753        11.098610        11.141173
   57.0000        10.999922        10.995886        11.033971
   58.0000        10.884214        10.882382        10.915670
   59.0000        10.757027        10.757495        10.785655
   60.0000        10.617754        10.620646        10.643324
   61.0000        10.465803        10.471231        10.488075
   62.0000        10.300604        10.308703        10.319309
   63.0000        10.121537        10.132425        10.136419
   64.0000         9.927999         9.941848         9.938788
   65.0000         9.719396         9.736345         9.725783
   66.0000         9.495080         9.515275         9.496751
   67.0000         9.254378         9.278022         9.251013
   68.0000         8.996617         9.023889         8.987866
   69.0000         8.721085         8.752183         8.706573
   70.0000         8.427045         8.462182         8.406369
   71.0000         8.113717         8.153142         8.086459
   72.0000         7.780309         7.824267         7.746027
   73.0000         7.426028         7.474783         7.384242
   74.0000         7.050073         7.103908         7.000282
   75.0000         6.651665         6.710869         6.593364
