# 金属球双站 RCS（CFIE MoM）
# 波长 (m):   2.0944
# 波数 k (rad/m):   3.0000
# RWG 基函数数: 1074
# 入射方向: +z, 极化: x, 观察面: φ=0 (xz-plane)
# theta(deg)  RCS_theta(dBsm)  RCS_phi(dBsm)  RCS_total(dBsm)
    0.00       15.220272      -59.254425       15.220272
    1.00       15.216031      -59.090267       15.216031
    2.00       15.203135      -58.940006       15.203135
    3.00       15.181633      -58.804340       15.181633
    4.00       15.151586      -58.680225       15.151586
    5.00       15.113117      -58.569458       15.113117
    6.00       15.066336      -58.469639       15.066336
    7.00       15.011445      -58.381161       15.011445
    8.00       14.948624      -58.303329       14.948624
    9.00       14.878125      -58.235252       14.878125
   10.00       14.800200      -58.175793       14.800200
   11.00       14.715200      -58.126091       14.715200
   12.00       14.623499      -58.085079       14.623499
   13.00       14.525479      -58.051170       14.525479
   14.00       14.421620      -58.025173       14.421620
   15.00       14.312414      -58.007179       14.312414
   16.00       14.198444      -57.996246       14.198444
   17.00       14.080315      -57.991776       14.080315
   18.00       13.958692      -57.993904       13.958692
   19.00       13.834282      -58.003334       13.834282
   20.00       13.707874      -58.018185       13.707874
   21.00       13.580250      -58.039509       13.580250
   22.00       13.452254      -58.068089       13.452254
   23.00       13.324748      -58.101444       13.324748
   24.00       13.198626      -58.140812       13.198626
   25.00       13.074739      -58.187069       13.074739
   26.00       12.953969      -58.239780       12.953969
   27.00       12.837124      -58.297562       12.837124
   28.00       12.724963      -58.363148       12.724963
   29.00       12.618200      -58.434258       12.618200
   30.00       12.517403      -58.512650       12.517403
   31.00       12.423056      -58.597511       12.423056
   32.00       12.335516      -58.688713       12.335516
   33.00       12.254974      -58.787758       12.254974
   34.00       12.181497      -58.892899       12.181498
   35.00       12.114978      -59.007034       12.114978
   36.00       12.055160      -59.126915       12.055161
   37.00       12.001630      -59.254669       12.001630
   38.00       11.953876      -59.389835       11.953876
   39.00       11.911231      -59.531082       11.911231
   40.00       11.872941      -59.680595       11.872941
   41.00       11.838144      -59.836235       11.838144
   42.00       11.805967      -59.996933       11.805967
   43.00       11.775425      -60.163109       11.775425
   44.00       11.745560      -60.333523       11.745560
   45.00       11.715376      -60.507645       11.715376
   46.00       11.683876      -60.680229       11.683876
   47.00       11.650106      -60.854454       11.650106
   48.00       11.613113      -61.023949       11.613113
   49.00       11.571981      -61.187977       11.571981
   50.00       11.525824      -61.341751       11.525824
   51.00       11.473801      -61.482292       11.473801
   52.00       11.415143      -61.604633       11.415143
   53.00       11.349035      -61.705811       11.349035
   54.00       11.274776      -61.781998       11.274776
   55.00       11.191662      -61.827663       11.191662
   56.00       11.099022      -61.839592       11.099022
   57.00       10.996222      -61.815739       10.996222
   58.00       10.882654      -61.753773       10.882654
   59.00       10.757695      -61.651619       10.757695
   60.00       10.620762      -61.512878       10.620762
   61.00       10.471272      -61.337124       10.471272
   62.00       10.308642      -61.128464       10.308642
   63.00       10.132282      -60.888248       10.132282
   64.00        9.941608      -60.623211        9.941608
   65.00        9.735986      -60.336384        9.735987
   66.00        9.514800      -60.032463        9.514801
   67.00        9.277422      -59.714439        9.277422
   68.00        9.023179      -59.385189        9.023179
   69.00        8.751333      -59.050922        8.751334
   70.00        8.461198      -58.712265        8.461198
   71.00        8.152000      -58.372437        8.152001
   72.00        7.822977      -58.032757        7.822978
   73.00        7.473330      -57.694801        7.473331
   74.00        7.102267      -57.361351        7.102269
   75.00        6.709047      -57.032284        6.709049
   76.00        6.292976      -56.708454        6.292978
   77.00        5.853490      -56.391319        5.853492
   78.00        5.390255      -56.080853        5.390258
   79.00        4.903301      -55.777584        4.903304
   80.00        4.393206      -55.480019        4.393211
   81.00        3.861420      -55.191174        3.861425
   82.00        3.310623      -54.909538        3.310630
   83.00        2.745294      -54.635391        2.745302
   84.00        2.172458      -54.368687        2.172468
   85.00        1.602485      -54.109921        1.602497
   86.00        1.049946      -53.859219        1.049960
   87.00        0.534206      -53.615746        0.534222
   88.00        0.079042      -53.379292        0.079062
   89.00       -0.289165      -53.151222       -0.289143
   90.00       -0.545339      -52.930492       -0.545314
   91.00       -0.671047      -52.717422       -0.671020
   92.00       -0.659350      -52.511707       -0.659321
   93.00       -0.516899      -52.314278       -0.516871
   94.00       -0.261907      -52.124016       -0.261878
   95.00        0.080678      -51.941429        0.080705
   96.00        0.484516      -51.766800        0.484542
   97.00        0.925835      -51.599365        0.925859
   98.00        1.385269      -51.440582        1.385291
   99.00        1.848201      -51.289703        1.848222
  100.00        2.304251      -51.146439        2.304271
  101.00        2.746442      -51.011459        2.746460
  102.00        3.170273      -50.884262        3.170290
  103.00        3.573115      -50.765800        3.573131
  104.00        3.953542      -50.656261        3.953557
  105.00        4.311013      -50.554924        4.311027
  106.00        4.645530      -50.462555        4.645544
  107.00        4.957479      -50.378990        4.957491
  108.00        5.247440      -50.304356        5.247452
  109.00        5.516134      -50.239342        5.516146
  110.00        5.764354      -50.184483        5.764365
  111.00        5.992881      -50.138741        5.992892
  112.00        6.202542      -50.103485        6.202552
  113.00        6.394100      -50.078739        6.394110
  114.00        6.568318      -50.064102        6.568328
  115.00        6.725898      -50.060844        6.725907
  116.00        6.867520      -50.068901        6.867529
  117.00        6.993815      -50.088470        6.993824
  118.00        7.105384      -50.119434        7.105392
  119.00        7.202778      -50.163940        7.202786
  120.00        7.286530      -50.221081        7.286538
  121.00        7.357111      -50.291973        7.357119
  122.00        7.415000      -50.376747        7.415008
  123.00        7.460629      -50.475464        7.460637
  124.00        7.494394      -50.589790        7.494401
  125.00        7.516693      -50.720245        7.516699
  126.00        7.527882      -50.868141        7.527888
  127.00        7.528324      -51.033134        7.528329
  128.00        7.518332      -51.216957        7.518337
  129.00        7.498235      -51.420708        7.498240
  130.00        7.468350      -51.645500        7.468355
  131.00        7.428977      -51.892448        7.428982
  132.00        7.380404      -52.163986        7.380409
  133.00        7.322929      -52.461014        7.322934
  134.00        7.256839      -52.785378        7.256843
  135.00        7.182423      -53.140564        7.182427
  136.00        7.099977      -53.528252        7.099980
  137.00        7.009785      -53.952339        7.009788
  138.00        6.912164      -54.416180        6.912167
  139.00        6.807417      -54.924377        6.807420
  140.00        6.695850      -55.481384        6.695853
  141.00        6.577826      -56.093735        6.577828
  142.00        6.453676      -56.767597        6.453678
  143.00        6.323760      -57.513809        6.323762
  144.00        6.188471      -58.340931        6.188473
  145.00        6.048197      -59.259926        6.048198
  146.00        5.903365      -60.284420        5.903366
  147.00        5.754420      -61.422005        5.754421
  148.00        5.601849      -62.675446        5.601850
  149.00        5.446121      -64.012451        5.446122
  150.00        5.287759      -65.337799        5.287759
  151.00        5.127314      -66.404503        5.127314
  152.00        4.965348      -66.851357        4.965348
  153.00        4.802432      -66.455544        4.802432
  154.00        4.639189      -65.399948        4.639189
  155.00        4.476237      -64.059074        4.476238
  156.00        4.314205      -62.685143        4.314206
  157.00        4.153740      -61.391586        4.153741
  158.00        3.995483      -60.211605        3.995484
  159.00        3.840064      -59.148186        3.840066
  160.00        3.688132      -58.190712        3.688134
  161.00        3.540305      -57.327492        3.540308
  162.00        3.397151      -56.547836        3.397155
  163.00        3.259243      -55.840336        3.259248
  164.00        3.127092      -55.197201        3.127098
  165.00        3.001193      -54.610771        3.001201
  166.00        2.881980      -54.075172        2.881989
  167.00        2.769821      -53.585136        2.769831
  168.00        2.665057      -53.137089        2.665069
  169.00        2.567978      -52.725868        2.567991
  170.00        2.478797      -52.349594        2.478812
  171.00        2.397709      -52.005310        2.397725
  172.00        2.324845      -51.690620        2.324862
  173.00        2.260300      -51.403202        2.260319
  174.00        2.204155      -51.142014        2.204175
  175.00        2.156449      -50.905357        2.156471
  176.00        2.117199      -50.691353        2.117222
  177.00        2.086441      -50.499043        2.086465
  178.00        2.064166      -50.327629        2.064191
  179.00        2.050385      -50.175934        2.050411
  180.00        2.045105      -50.043411        2.045131
