# 金属球双站 RCS（CFIE MoM）
# 波长 (m):   2.0944
# 波数 k (rad/m):   3.0000
# RWG 基函数数: 1074
# 入射方向: +z, 极化: x, 观察面: φ=0 (xz-plane)
# theta(deg)  RCS_theta(dBsm)  RCS_phi(dBsm)  RCS_total(dBsm)
    0.00       15.219006      -59.183384       15.219006
    1.00       15.214762      -59.019020       15.214762
    2.00       15.201865      -58.870205       15.201865
    3.00       15.180354      -58.734100       15.180354
    4.00       15.150317      -58.611168       15.150317
    5.00       15.111856      -58.500019       15.111856
    6.00       15.065084      -58.401451       15.065084
    7.00       15.010178      -58.312744       15.010178
    8.00       14.947368      -58.234882       14.947368
    9.00       14.876879      -58.166920       14.876879
   10.00       14.798966      -58.107895       14.798966
   11.00       14.713972      -58.057343       14.713972
   12.00       14.622269      -58.016624       14.622269
   13.00       14.524263      -57.983204       14.524263
   14.00       14.420403      -57.957306       14.420403
   15.00       14.311227      -57.938339       14.311227
   16.00       14.197248      -57.927094       14.197248
   17.00       14.079126      -57.922611       14.079126
   18.00       13.957512      -57.924812       13.957512
   19.00       13.833118      -57.933178       13.833118
   20.00       13.706704      -57.948509       13.706704
   21.00       13.579087      -57.969440       13.579087
   22.00       13.451092      -57.996155       13.451092
   23.00       13.323605      -58.029335       13.323605
   24.00       13.197483      -58.069031       13.197483
   25.00       13.073597      -58.114086       13.073597
   26.00       12.952837      -58.166561       12.952837
   27.00       12.835997      -58.224380       12.835997
   28.00       12.723843      -58.288403       12.723843
   29.00       12.617075      -58.358643       12.617075
   30.00       12.516288      -58.436207       12.516288
   31.00       12.421944      -58.520771       12.421944
   32.00       12.334408      -58.610878       12.334409
   33.00       12.253872      -58.709404       12.253872
   34.00       12.180394      -58.814438       12.180394
   35.00       12.113880      -58.926617       12.113880
   36.00       12.054060      -59.046951       12.054060
   37.00       12.000551      -59.173988       12.000551
   38.00       11.952806      -59.308403       11.952806
   39.00       11.910173      -59.450455       11.910173
   40.00       11.871892      -59.599476       11.871892
   41.00       11.837118      -59.754135       11.837118
   42.00       11.804954      -59.915653       11.804954
   43.00       11.774445      -60.081676       11.774445
   44.00       11.744594      -60.252689       11.744594
   45.00       11.714437      -60.424934       11.714437
   46.00       11.682973      -60.601433       11.682973
   47.00       11.649238      -60.775372       11.649238
   48.00       11.612273      -60.947426       11.612273
   49.00       11.571178      -61.112122       11.571178
   50.00       11.525080      -61.268085       11.525080
   51.00       11.473111      -61.411167       11.473111
   52.00       11.414488      -61.536270       11.414488
   53.00       11.348433      -61.641422       11.348433
   54.00       11.274234      -61.719696       11.274234
   55.00       11.191183      -61.769276       11.191183
   56.00       11.098610      -61.784851       11.098610
   57.00       10.995886      -61.763695       10.995886
   58.00       10.882382      -61.703068       10.882382
   59.00       10.757495      -61.605171       10.757495
   60.00       10.620646      -61.469200       10.620646
   61.00       10.471231      -61.294727       10.471231
   62.00       10.308703      -61.087917       10.308703
   63.00       10.132425      -60.848427       10.132425
   64.00        9.941848      -60.584961        9.941848
   65.00        9.736345      -60.297424        9.736346
   66.00        9.515275      -59.991898        9.515275
   67.00        9.278022      -59.672920        9.278023
   68.00        9.023889      -59.343342        9.023890
   69.00        8.752183      -59.006737        8.752183
   70.00        8.462182      -58.666225        8.462183
   71.00        8.153142      -58.324276        8.153143
   72.00        7.824267      -57.983673        7.824268
   73.00        7.474783      -57.644470        7.474785
   74.00        7.103908      -57.308586        7.103910
   75.00        6.710869      -56.977791        6.710871
   76.00        6.295004      -56.651924        6.295007
   77.00        5.855715      -56.332508        5.855717
   78.00        5.392704      -56.019634        5.392708
