# 金属球双站 RCS（CFIE MoM）
# 波长 (m):   2.0944
# 波数 k (rad/m):   3.0000
# RWG 基函数数: 1074
# 入射方向: +z, 极化: x, 观察面: φ=0 (xz-plane)
# theta(deg)  RCS_theta(dBsm)  RCS_phi(dBsm)  RCS_total(dBsm)
    0.00       15.257683      -66.098938       15.257683
    1.00       15.253393      -65.822433       15.253393
    2.00       15.240438      -65.573799       15.240438
    3.00       15.218849      -65.352921       15.218849
    4.00       15.188722      -65.155121       15.188722
    5.00       15.150131      -64.975410       15.150131
    6.00       15.103225      -64.815598       15.103225
    7.00       15.048191      -64.670532       15.048191
    8.00       14.985216      -64.538254       14.985216
    9.00       14.914540      -64.416115       14.914540
   10.00       14.836445      -64.304001       14.836445
   11.00       14.751263      -64.199638       14.751263
   12.00       14.659371      -64.099548       14.659371
   13.00       14.561131      -64.002640       14.561131
   14.00       14.457059      -63.907185       14.457059
   15.00       14.347637      -63.810936       14.347637
   16.00       14.233433      -63.713535       14.233433
   17.00       14.115067      -63.612331       14.115067
   18.00       13.993216      -63.506859       13.993216
   19.00       13.868578      -63.397141       13.868578
   20.00       13.741926      -63.280872       13.741926
   21.00       13.614058      -63.157440       13.614058
   22.00       13.485822      -63.026871       13.485822
   23.00       13.358086      -62.890137       13.358086
   24.00       13.231720      -62.743603       13.231720
   25.00       13.107585      -62.592735       13.107585
   26.00       12.986580      -62.434967       12.986580
   27.00       12.869477      -62.270374       12.869477
   28.00       12.757068      -62.100292       12.757068
   29.00       12.650034      -61.925568       12.650034
   30.00       12.548964      -61.747456       12.548964
   31.00       12.454315      -61.564732       12.454315
   32.00       12.366455      -61.380268       12.366455
   33.00       12.285568      -61.194950       12.285568
   34.00       12.211704      -61.007214       12.211704
   35.00       12.144752      -60.821602       12.144752
   36.00       12.084464      -60.635475       12.084464
   37.00       12.030428      -60.450943       12.030428
   38.00       11.982100      -60.269020       11.982100
   39.00       11.938830      -60.087162       11.938830
   40.00       11.899844      -59.908710       11.899844
   41.00       11.864296      -59.735123       11.864296
   42.00       11.831278      -59.562729       11.831278
   43.00       11.799842      -59.395653       11.799842
   44.00       11.769011      -59.231766       11.769011
   45.00       11.737775      -59.071678       11.737775
   46.00       11.705159      -58.916214       11.705159
   47.00       11.670197      -58.763054       11.670197
   48.00       11.631932      -58.614677       11.631932
   49.00       11.589445      -58.472343       11.589445
   50.00       11.541873      -58.331985       11.541873
   51.00       11.488353      -58.198067       11.488353
   52.00       11.428078      -58.066360       11.428078
   53.00       11.360302      -57.938675       11.360302
   54.00       11.284285      -57.815842       11.284286
   55.00       11.199324      -57.696972       11.199326
   56.00       11.104753      -57.580395       11.104753
   57.00       10.999922      -57.468597       10.999922
   58.00       10.884214      -57.360054       10.884214
   59.00       10.757027      -57.254490       10.757028
   60.00       10.617754      -57.152931       10.617756
   61.00       10.465803      -57.054092       10.465804
   62.00       10.300604      -56.958740       10.300606
   63.00       10.121537      -56.865215       10.121538
   64.00        9.927999      -56.776192        9.927999
   65.00        9.719396      -56.687973        9.719397
   66.00        9.495080      -56.604538        9.495081
   67.00        9.254378      -56.521996        9.254379
   68.00        8.996617      -56.441910        8.996618
   69.00        8.721085      -56.363697        8.721086
   70.00        8.427045      -56.288189        8.427046
   71.00        8.113717      -56.215340        8.113719
   72.00        7.780309      -56.143051        7.780311
   73.00        7.426028      -56.072392        7.426030
   74.00        7.050073      -56.003616        7.050075
   75.00        6.651665      -55.936440        6.651668
   76.00        6.230115      -55.869869        6.230117
   77.00        5.784873      -55.805038        5.784876
   78.00        5.315632      -55.740799        5.315636
   79.00        4.822469      -55.678257        4.822473
   80.00        4.306067      -55.615959        4.306071
   81.00        3.768012      -55.555244        3.768018
   82.00        3.211250      -55.494732        3.211256
   83.00        2.640671      -55.435661        2.640678
   84.00        2.063831      -55.376911        2.063839
   85.00        1.491897      -55.319359        1.491906
   86.00        0.940450      -55.262619        0.940460
   87.00        0.429983      -55.206684        0.429994
   88.00       -0.014636      -55.152378       -0.014623
   89.00       -0.366438      -55.099125       -0.366424
   90.00       -0.600679      -55.047508       -0.600664
   91.00       -0.700449      -54.997692       -0.700432
   92.00       -0.661294      -54.950085       -0.661277
   93.00       -0.492600      -54.904400       -0.492585
   94.00       -0.214797      -54.861198       -0.214782
   95.00        0.145990      -54.821491        0.146004
   96.00        0.563250      -54.784157        0.563263
   97.00        1.013658      -54.750881        1.013669
   98.00        1.478593      -54.721264        1.478603
   99.00        1.944247      -54.695297        1.944257
  100.00        2.400985      -54.675079        2.400994
  101.00        2.842393      -54.658924        2.842401
  102.00        3.264431      -54.648991        3.264438
  103.00        3.664780      -54.644196        3.664786
  104.00        4.042260      -54.646339        4.042266
  105.00        4.396523      -54.654701        4.396529
  106.00        4.727671      -54.670036        4.727675
  107.00        5.036175      -54.692451        5.036180
  108.00        5.322676      -54.723717        5.322680
  109.00        5.587935      -54.762093        5.587938
  110.00        5.832762      -54.810364        5.832765
  111.00        6.057971      -54.867798        6.057974
  112.00        6.264381      -54.933792        6.264384
  113.00        6.452773      -55.010803        6.452777
  114.00        6.623899      -55.097549        6.623901
  115.00        6.778476      -55.196594        6.778479
  116.00        6.917183      -55.306473        6.917185
  117.00        7.040646      -55.427898        7.040648
  118.00        7.149448      -55.563057        7.149451
  119.00        7.244163      -55.710472        7.244165
  120.00        7.325299      -55.872112        7.325301
  121.00        7.393348      -56.048351        7.393350
  122.00        7.448779      -56.239391        7.448781
  123.00        7.492002      -56.447338        7.492004
  124.00        7.523433      -56.671642        7.523435
  125.00        7.543464      -56.914997        7.543465
  126.00        7.552457      -57.175900        7.552458
  127.00        7.550741      -57.456161        7.550743
  128.00        7.538680      -57.758606        7.538682
  129.00        7.516574      -58.083515        7.516575
  130.00        7.484749      -58.433109        7.484750
  131.00        7.443492      -58.809032        7.443493
  132.00        7.393105      -59.213375        7.393106
  133.00        7.333894      -59.647678        7.333894
  134.00        7.266142      -60.114143        7.266143
  135.00        7.190147      -60.616108        7.190147
  136.00        7.106204      -61.157719        7.106205
  137.00        7.014611      -61.741028        7.014612
  138.00        6.915679      -62.369648        6.915679
  139.00        6.809726      -63.044617        6.809727
  140.00        6.697079      -63.770985        6.697079
  141.00        6.578078      -64.545326        6.578078
  142.00        6.453101      -65.365692        6.453102
  143.00        6.322494      -66.216637        6.322495
  144.00        6.186665      -67.070297        6.186665
  145.00        6.046025      -67.875458        6.046025
  146.00        5.901007      -68.551643        5.901007
  147.00        5.752074      -68.990562        5.752075
  148.00        5.599712      -69.101845        5.599712
  149.00        5.444429      -68.856903        5.444429
  150.00        5.286749      -68.300156        5.286750
  151.00        5.127232      -67.539154        5.127232
  152.00        4.966457      -66.671997        4.966458
  153.00        4.805019      -65.776138        4.805020
  154.00        4.643538      -64.889626        4.643538
  155.00        4.482645      -64.039085        4.482646
  156.00        4.322958      -63.235115        4.322959
  157.00        4.165148      -62.481976        4.165149
  158.00        4.009858      -61.778465        4.009859
  159.00        3.857701      -61.120567        3.857702
  160.00        3.709308      -60.509701        3.709310
  161.00        3.565277      -59.937687        3.565279
  162.00        3.426177      -59.404655        3.426180
  163.00        3.292540      -58.906673        3.292542
  164.00        3.164850      -58.441051        3.164854
  165.00        3.043551      -58.005333        3.043555
  166.00        2.929033      -57.597881        2.929037
  167.00        2.821649      -57.216068        2.821653
  168.00        2.721659      -56.859383        2.721663
  169.00        2.629316      -56.525032        2.629321
  170.00        2.544785      -56.211731        2.544791
  171.00        2.468166      -55.919514        2.468172
  172.00        2.399596      -55.646519        2.399603
  173.00        2.339100      -55.391277        2.339108
  174.00        2.286687      -55.154121        2.286695
  175.00        2.242385      -54.933430        2.242394
  176.00        2.206160      -54.729198        2.206168
  177.00        2.177996      -54.540161        2.178005
  178.00        2.157891      -54.366222        2.157901
  179.00        2.145808      -54.206749        2.145818
  180.00        2.141750      -54.060883        2.141761
